Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Nik Stauskas (SG, PHI)",MIA,#10,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Nerlens Noel (FC, PHI)",MIA,#10,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$6100,0
"Kendall Marshall (PG, PHI)",MIA,#10,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Chris Bosh (FC, MIA)",PHI,#30,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$7000,0
"Cliff Alexander (PF, POR)",DET,#12,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Luis Montero (SF, POR)",DET,#12,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Stanley Johnson (GF, DET)",POR,#14,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$4500,0
"Anthony Tolliver (F, DET)",POR,#14,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Nick Johnson (SG, DEN)",DAL,#13,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$0,0
"Danilo Gallinari (SF, DEN)",DAL,#13,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$6700,0
